ca,snapshot_time,token_age_mins_at_snap,market_cap_at_snap,liquidity_at_snap,holder_distribution,smart_money_metrics,momentum_metrics,social_signal,peak_multiplier,created_at,time_stage,price_usd,smart_money_delta,maker_vol_ratio,overhang_ratio,breakout_vol_ratio,label
AfmxtAyQYooeZsx2QrCKQh3k2yHFjRhhbQNG92T5pump,2026-02-23 14:55:37.556288+00:00,38,2657.59,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:37.556288+00:00,T_0,0.0,0,0.0,0.0,0.0,0
F4mY8bmkPaU2ykAfKoExtXtDPqzU6Q62xnmmBFhXpump,2026-02-23 14:55:37.206228+00:00,37,2250.30,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:37.206228+00:00,T_0,0.0,0,0.0,0.0,0.0,0
fAubassRUEpEmqWqAHy9WhsSRDGLpnNo2iH1jCxpump,2026-02-23 14:55:36.901119+00:00,87,1967.00,3334.97,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:36.901119+00:00,T_0,0.0,0,0.0,0.0,0.0,0
YddXwuNiPUYr6qR956iFik4jAdUFkUu9wRkJGZXpump,2026-02-23 14:55:34.008156+00:00,44,2255.23,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:34.008156+00:00,T_0,0.0,0,0.0,0.0,0.0,0
7W5nNksZ9Npsj6CGwqKK8F4bNsp5rBZcrF8x2v31pump,2026-02-23 14:55:33.260555+00:00,63,3106.29,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:33.260555+00:00,T_0,0.0,0,0.0,0.0,0.0,0
5AtArn1tvMGqNkGkE45ArMRPXqM7JajREmV932oapump,2026-02-23 14:55:33.119383+00:00,124,2324.35,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:33.119383+00:00,T_0,0.0,0,0.0,0.0,0.0,0
6woPkNsWGZmXQnacxQ1owoPicibS6KEmNMxQhatApump,2026-02-23 12:29:15.267958+00:00,289,233441.00,37867.38,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 12:29:15.267958+00:00,T_0,0.0,0,0.0,0.0,0.0,0
4zwesenjr1Ekk2Zb8bsHteixLMQusWYUoujAyJfzpump,2026-02-23 12:15:52.498271+00:00,6,9733.92,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 12:15:52.498271+00:00,T_0,0.0,0,0.0,0.0,0.0,0
jVp9C7f4qC7aKRx5zMKno8Bpyg5MGBupmDyqqjspump,2026-02-23 11:51:51.552278+00:00,32,2459.36,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 11:51:51.552278+00:00,T_0,0.0,0,0.0,0.0,0.0,0
J5wnNDb9G9ywmiPmgbqNZcieL1zE41towqgTQHkopump,2026-02-23 09:33:38.784262+00:00,5,6621.87,0.49,"{""top10"": ""21.5%""}",,,"{""ix_data"": {}}",,2026-02-23 09:33:38.784262+00:00,T_0,0.0,0,0.0,0.0,0.0,0
BQFU77cb8iNaRvHbKxZMGuSuDpeLt9UEbTDbRoUZpump,2026-02-23 09:32:55.304493+00:00,184,27876.44,1.87,"{""top10"": ""24.9%""}",,,"{""ix_data"": {}}",,2026-02-23 09:32:55.304493+00:00,T_0,0.0,0,0.0,0.0,0.0,0
DVbUHJjXbEcz8TdjaW6ujFXfbKQsrAHyKqmLaLJnpump,2026-02-23 09:18:05.618637+00:00,8,7291.40,0.62,"{""top10"": ""21.3%""}",,,"{""ix_data"": {}}",,2026-02-23 09:18:05.618637+00:00,T_0,0.0,0,0.0,0.0,0.0,0
4nURS6qxY9bCEhramG2VZfnphJZyzis5EE86w5qLpump,2026-02-23 09:07:41.705743+00:00,280,851329.00,75061.25,"{""top10"": ""17.4%""}",,,"{""ix_data"": {}}",,2026-02-23 09:07:41.705743+00:00,T_0,0.0,0,0.0,0.0,0.0,0
FC3FNev4qhAnWp6uY3rXpt2N5Qz5GnhqZUFY4mHLpump,2026-02-22 17:04:31.550917+00:00,32,28103.49,1.95,"{""top10"": ""17.7%""}",,,"{""ix_data"": {}}",,2026-02-22 17:04:31.550917+00:00,T_0,0.0,0,0.0,0.0,0.0,0
CZu7QNWinisipPN8umNZmySuNDpDC9pUV7RhYsVPpump,2026-02-22 17:03:56.700820+00:00,18,9000.64,0.75,"{""top10"": ""25.7%""}",,,"{""ix_data"": {}}",,2026-02-22 17:03:56.700820+00:00,T_0,0.0,0,0.0,0.0,0.0,0
